Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,4734661,5102066,6854690,6329121
2025,4,April,5040051,4822189,5919390,6334486
2025,3,March,4540667,4708418,6557399,6739342
2025,2,February,4115637,4170631,4912048,5036802
2025,1,January,4848091,5236859,4970681,6434329
2024,12,December,5432140,5508230,6642383,5650862
2024,11,November,4454626,4952968,5281072,5206402
2024,10,October,4983113,5105172,5421907,5836487
2024,9,September,4875682,4937469,5492682,5837673
2024,8,August,5750460,5774248,6309221,7475923
2024,7,July,5519399,5184331,7644297,8388614
2024,6,June,4695670,4735124,8278595,7556228
2024,5,May,4998276,5295694,6737379,6172724
2024,4,April,4899277,4865465,5572076,6176782
2024,3,March,5028217,4778399,6456102,6391869
2024,2,February,4323391,4284762,4931487,4952302
2024,1,January,4766958,5085742,4659080,6028038
2023,12,December,5225743,5221210,6153699,5118298
2023,11,November,4323584,4730367,4971489,5081012
2023,10,October,4802583,4947657,5036375,5659172
2023,9,September,4734366,4627289,5361459,5488826
2023,8,August,5465332,5410511,5769557,6965791
2023,7,July,5093986,4753744,7168848,7911418
2023,6,June,4242765,4203675,7601997,6813843
2023,5,May,4420385,4713412,6047493,5685648
2023,4,April,4578991,4426714,5271376,5623952
2023,3,March,4297735,4099572,5662286,5691256
2023,2,February,3617537,3540017,4262419,4352628
2023,1,January,4042751,4322085,4289832,5417214
2022,12,December,4383609,4403193,5461213,4544432
2022,11,November,3681261,4055261,4396369,4527182
2022,10,October,4099300,4145095,4409939,4823993
2022,9,September,3912896,3852874,4596103,4776526
2022,8,August,4494840,4482871,4941273,6175657
2022,7,July,4256790,3960824,6246102,6761233
2022,6,June,3532927,3565212,6368099,5633930
2022,5,May,3586937,3769071,4865598,4547457
2022,4,April,3620601,3492844,4098816,4238337
2022,3,March,2891467,2804452,4064617,4136776
2022,2,February,2159719,2059187,2780138,2768462
2022,1,January,2297976,2560780,2451568,3427143
2021,12,December,2961261,3109323,3806456,3110132
2021,11,November,2386605,2325762,2922586,3042638
2021,10,October,2004798,1888181,2660699,2799089
2021,9,September,1880901,1685527,2442932,2708408
2021,8,August,2285225,1972080,3008119,3885490
2021,7,July,2003171,1907322,3741455,3690861
2021,6,June,1677295,1670204,3062053,2798564
2021,5,May,1539631,1495398,2172584,2125630
2021,4,April,1195001,1084334,1644043,1860562
2021,3,March,985267,850768,1567802,1521142
2021,2,February,642523,621728,930610,977938
2021,1,January,1070106,912401,1031897,1705730
2020,12,December,973030,1234202,1673471,1233071
2020,11,November,758332,852429,1113967,1123877
2020,10,October,660548,663964,938350,929802
2020,9,September,527379,533384,669826,713192
2020,8,August,511611,555222,650173,743896
2020,7,July,364117,509035,564682,550151
2020,6,June,192553,296440,176949,233242
2020,5,May,78337,192614,54368,107630
2020,4,April,54031,176627,32144,110285
2020,3,March,1960896,2946059,1844726,3053096
2020,2,February,4470729,4448720,3902937,4155775
2020,1,January,5274405,5520357,4073096,5218812
2019,12,December,5628117,5718816,5257209,4504442
2019,11,November,4835308,5181174,4227689,4292965
2019,10,October,5393398,5513397,4404215,4733914
2019,9,September,5351576,5388223,4495170,4831304
2019,8,August,6280655,6453677,5314894,6437264
2019,7,July,6061680,5650643,6461868,7112767
2019,6,June,5273670,5329655,6894114,6318143
2019,5,May,5485565,5748857,5558268,5228631
2019,4,April,5717068,5425225,4747002,5181909
2019,3,March,5201971,5252795,5379974,5500247
2019,2,February,4665469,4644446,3917628,4005304
2019,1,January,5277728,5509406,3971515,5116545
